mes,inflacion
2017m1,1.585
2017m2,2.067
2017m3,2.314
2017m4,2.733
2017m5,1.376
2017m6,1.176
2017m7,1.789
2017m8,1.406
2017m9,1.906
2017m10,1.531
2017m11,1.34
2017m12,3.14
2018m1,1.763
2018m2,2.441
2018m3,2.306
2018m4,2.78
2018m5,2.047
2018m6,3.725
2018m7,3.108
2018m8,3.885
2018m9,6.512
2018m10,5.387
2018m11,3.159
2018m12,2.617
2019m1,2.876
2019m2,3.797
2019m3,4.675
2019m4,3.447
2019m5,3.05
2019m6,2.687
2019m7,2.217
2019m8,3.948
2019m9,5.885
2019m10,3.311
2019m11,4.235
2019m12,3.734
2020m1,2.258
2020m2,2.036
2020m3,3.348
2020m4,1.473
2020m5,1.548
2020m6,2.255
2020m7,1.925
2020m8,2.712
2020m9,2.818
2020m10,3.78
2020m11,3.142
2020m12,4.016
2021m1,4.042
2021m2,3.587
2021m3,4.809
2021m4,4.084
2021m5,3.306
2021m6,3.179
2021m7,2.998
2021m8,2.469
2021m9,3.546
2021m10,3.518
2021m11,2.522
2021m12,3.851
2022m1,3.863
2022m2,4.694
2022m3,6.742
2022m4,6.035
2022m5,5.05
2022m6,5.295
2022m7,7.406
2022m8,6.97
2022m9,6.166
2022m10,6.347
2022m11,4.916
2022m12,5.125
2023m1,6.028
2023m2,6.628
2023m3,7.675
2023m4,8.403
2023m5,7.773
2023m6,5.951
2023m7,6.345
2023m8,12.442
2023m9,12.75
2023m10,8.302
2023m11,12.811
2023m12,25.465
2024m1,20.615
2024m2,13.241
2024m3,11.01
2024m4,8.833
2024m5,4.176
2024m6,4.577
2024m7,4.031
2024m8,4.172
2024m9,3.469
2024m10,2.692
2024m11,2.427
2024m12,2.704
2025m1,2.211
2025m2,2.402
